Gene,Function,GOID,Cat
AT2G35760,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT2G36490,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT4G25910,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT5G54980,"4 iron, 4 sulfur cluster binding",GO:0051539,func
AT2G26930,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity,GO:0050515,func
AT2G43420,4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-oxidoreductase (decarboxylating) activity,GO:0103066,func
AT2G43420,4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol:NAD(P)+ 3-dehydrogenase (decarboxylating) activity,GO:0103067,func
AT5G64860,4-alpha-glucanotransferase activity,GO:0004134,func
AT5G51110,4-alpha-hydroxytetrahydrobiopterin dehydratase activity,GO:0008124,func
AT3G22150,4-aminobutyrate transaminase activity,GO:0003867,func
AT1G20510,4-coumarate-CoA ligase activity,GO:0016207,func
AT3G26680,5'-3' exodeoxyribonuclease activity,GO:0035312,func
AT5G26680,5'-3' exonuclease activity,GO:0008409,func
AT1G34380,5'-3' exonuclease activity,GO:0008409,func
AT5G42540,5'-3' exonuclease activity,GO:0008409,func
AT5G63420,5'-3' exonuclease activity,GO:0008409,func
AT1G50840,5'-3' exonuclease activity,GO:0008409,func
AT5G42540,5'-3' exoribonuclease activity,GO:0004534,func
AT5G26680,5'-flap endonuclease activity,GO:0017108,func
AT1G32380,5-phosphoribose 1-diphosphate biosynthetic process,GO:0006015,proc
AT2G35390,5-phosphoribose 1-diphosphate biosynthetic process,GO:0006015,proc
AT1G10700,5-phosphoribose 1-diphosphate biosynthetic process,GO:0006015,proc
AT1G48350,5S rRNA binding,GO:0008097,func
AT3G20230,5S rRNA binding,GO:0008097,func
AT4G26270,6-phosphofructokinase activity,GO:0003872,func
AT2G22480,6-phosphofructokinase activity,GO:0003872,func
AT5G26570,"6-phosphoglucan, water dikinase activity",GO:0102217,func
AT1G67680,7S RNA binding,GO:0008312,func
AT5G03940,7S RNA binding,GO:0008312,func
AT3G04080,8-oxo-dGTP phosphohydrolase activity,GO:0102490,func
AT4G19170,9-cis-epoxycarotenoid dioxygenase activity,GO:0045549,func
AT3G63520,9-cis-epoxycarotenoid dioxygenase activity,GO:0045549,func
AT1G08465,abaxial cell fate specification,GO:0010158,proc
AT2G33860,abaxial cell fate specification,GO:0010158,proc
AT5G67030,abscisic acid biosynthetic process,GO:0009688,proc
AT1G67080,abscisic acid biosynthetic process,GO:0009688,proc
AT2G04240,abscisic acid biosynthetic process,GO:0009688,proc
AT1G42550,abscisic acid homeostasis,GO:1902265,proc
AT2G04240,abscisic acid metabolic process,GO:0009687,proc
AT5G52050,abscisic acid transmembrane transporter activity,GO:0090440,func
AT1G15520,abscisic acid transport,GO:0080168,proc
AT5G52050,abscisic acid transport,GO:0080168,proc
AT3G46550,abscisic acid-activated signaling pathway,GO:0009738,proc
AT1G45249,abscisic acid-activated signaling pathway,GO:0009738,proc
AT3G19290,abscisic acid-activated signaling pathway,GO:0009738,proc
AT4G34000,abscisic acid-activated signaling pathway,GO:0009738,proc
AT3G19580,abscisic acid-activated signaling pathway,GO:0009738,proc
AT2G30020,abscisic acid-activated signaling pathway,GO:0009738,proc
AT2G41940,abscisic acid-activated signaling pathway,GO:0009738,proc
AT4G18010,abscisic acid-activated signaling pathway,GO:0009738,proc
AT1G65690,abscisic acid-activated signaling pathway,GO:0009738,proc
AT5G20910,abscisic acid-activated signaling pathway,GO:0009738,proc
AT5G01810,abscisic acid-activated signaling pathway,GO:0009738,proc
AT2G17290,abscisic acid-activated signaling pathway,GO:0009738,proc
AT5G14420,abscisic acid-activated signaling pathway,GO:0009738,proc
AT5G67300,abscisic acid-activated signaling pathway,GO:0009738,proc
AT5G24430,abscisic acid-activated signaling pathway,GO:0009738,proc
AT5G63980,abscisic acid-activated signaling pathway,GO:0009738,proc
AT1G49580,abscisic acid-activated signaling pathway,GO:0009738,proc
AT1G42550,abscisic acid-activated signaling pathway,GO:0009738,proc
AT1G52570,abscisic acid-activated signaling pathway,GO:0009738,proc
AT1G02340,abscisic acid-activated signaling pathway,GO:0009738,proc
AT5G60870,abscisic acid-activated signaling pathway,GO:0009738,proc
AT4G17615,abscisic acid-activated signaling pathway,GO:0009738,proc
AT1G49720,abscisic acid-activated signaling pathway,GO:0009738,proc
AT4G21670,abscisic acid-activated signaling pathway,GO:0009738,proc
AT3G45640,abscisic acid-activated signaling pathway,GO:0009738,proc
AT3G57530,abscisic acid-activated signaling pathway,GO:0009738,proc
AT4G02350,acceptance of pollen,GO:0060321,proc
AT1G71820,acceptance of pollen,GO:0060321,proc
AT1G60440,acetyl-CoA biosynthetic process,GO:0006085,proc
AT1G24180,acetyl-CoA biosynthetic process from pyruvate,GO:0006086,proc
AT5G50850,acetyl-CoA biosynthetic process from pyruvate,GO:0006086,proc
AT1G36160,acetyl-CoA carboxylase activity,GO:0003989,func
AT4G11820,acetyl-CoA metabolic process,GO:0006084,proc
AT3G15350,acetylglucosaminyltransferase activity,GO:0008375,func
AT1G73810,acetylglucosaminyltransferase activity,GO:0008375,func
AT2G19160,acetylglucosaminyltransferase activity,GO:0008375,func
AT5G57270,acetylglucosaminyltransferase activity,GO:0008375,func
AT4G30060,acetylglucosaminyltransferase activity,GO:0008375,func
AT4G38240,acetylglucosaminyltransferase activity,GO:0008375,func
AT3G13930,acetyltransferase activity,GO:0016407,func
AT5G64020,acetyltransferase activity,GO:0016407,func
AT2G34410,acetyltransferase activity,GO:0016407,func
AT1G54780,acid phosphatase activity,GO:0003993,func
AT2G16430,acid phosphatase activity,GO:0003993,func
AT1G25230,acid phosphatase activity,GO:0003993,func
AT2G01890,acid phosphatase activity,GO:0003993,func
AT2G05710,aconitate hydratase activity,GO:0003994,func
AT4G26970,aconitate hydratase activity,GO:0003994,func
AT4G35830,aconitate hydratase activity,GO:0003994,func
AT2G43800,actin binding,GO:0003779,func
AT2G41740,actin binding,GO:0003779,func
AT5G54650,actin binding,GO:0003779,func
AT1G52080,actin binding,GO:0003779,func
AT3G05520,actin binding,GO:0003779,func
AT3G56480,actin binding,GO:0003779,func
AT5G35700,actin cytoskeleton organization,GO:0030036,proc
AT3G05520,actin cytoskeleton organization,GO:0030036,proc
AT1G75840,actin cytoskeleton organization,GO:0030036,proc
AT1G75840,actin cytoskeleton reorganization,GO:0031532,proc
AT2G41740,actin filament binding,GO:0051015,func
AT2G01330,actin filament binding,GO:0051015,func
AT5G35700,actin filament binding,GO:0051015,func
AT1G10200,actin filament binding,GO:0051015,func
AT3G05520,actin filament binding,GO:0051015,func
AT4G14760,actin filament binding,GO:0051015,func
AT1G03080,actin filament binding,GO:0051015,func
AT2G41740,actin filament bundle assembly,GO:0051017,proc
AT5G35700,actin filament bundle assembly,GO:0051017,proc
AT1G64500,actin filament bundle assembly,GO:0051017,proc
AT1G10200,actin filament bundle assembly,GO:0051017,proc
AT2G41740,actin filament capping,GO:0051693,proc
AT3G05520,actin filament capping,GO:0051693,proc
AT2G01330,actin filament depolymerization,GO:0030042,proc
AT5G35700,actin filament network formation,GO:0051639,proc
AT1G75100,actin filament organization,GO:0007015,proc
AT3G05520,actin filament organization,GO:0007015,proc
AT3G56480,actin filament organization,GO:0007015,proc
AT1G75840,actin filament organization,GO:0007015,proc
AT5G54650,actin filament polymerization,GO:0030041,proc
AT1G50360,actin filament-based movement,GO:0030048,proc
AT1G42550,actin filament-based movement,GO:0030048,proc
AT5G54650,actin nucleation,GO:0045010,proc
AT4G28550,activation of GTPase activity,GO:0090630,proc
AT4G29810,activation of MAPK activity,GO:0000187,proc
AT1G54960,activation of MAPKK activity,GO:0000186,proc
AT2G30040,activation of protein kinase activity,GO:0032147,proc
AT4G29810,activation of protein kinase activity,GO:0032147,proc
AT1G54960,activation of protein kinase activity,GO:0032147,proc
AT1G53570,activation of protein kinase activity,GO:0032147,proc
AT2G47160,active borate transmembrane transporter activity,GO:0046715,func
AT5G47630,acyl binding,GO:0000035,func
AT5G47630,acyl carrier activity,GO:0000036,func
AT2G43710,acyl-[acyl-carrier-protein] desaturase activity,GO:0045300,func
AT1G06290,acyl-CoA oxidase activity,GO:0003997,func
AT4G16760,acyl-CoA oxidase activity,GO:0003997,func
AT2G33800,adaxial/abaxial pattern specification,GO:0009955,proc
AT4G34390,adenylate cyclase-modulating G protein-coupled receptor signaling pathway,GO:0007188,proc
AT5G50370,adenylate kinase activity,GO:0004017,func
AT5G35170,adenylate kinase activity,GO:0004017,func
AT3G51980,adenyl-nucleotide exchange factor activity,GO:0000774,func
AT5G55200,adenyl-nucleotide exchange factor activity,GO:0000774,func
AT5G02150,adenyl-nucleotide exchange factor activity,GO:0000774,func
AT3G22890,adenylylsulfate kinase activity,GO:0004020,func
AT2G14750,adenylylsulfate kinase activity,GO:0004020,func
AT4G39940,adenylylsulfate kinase activity,GO:0004020,func
AT4G04610,adenylyl-sulfate reductase (glutathione) activity,GO:0033741,func
AT4G04610,adenylyl-sulfate reductase activity,GO:0009973,func
AT3G12780,ADP binding,GO:0043531,func
AT2G39730,ADP binding,GO:0043531,func
AT5G44510,ADP binding,GO:0043531,func
AT5G04720,ADP binding,GO:0043531,func
AT1G58602,ADP binding,GO:0043531,func
AT1G62630,ADP binding,GO:0043531,func
AT4G19530,ADP binding,GO:0043531,func
AT5G43740,ADP binding,GO:0043531,func
AT5G66910,ADP binding,GO:0043531,func
AT2G14120,ADP binding,GO:0043531,func
AT5G27520,ADP transmembrane transporter activity,GO:0015217,func
AT5G27520,ADP transport,GO:0015866,proc
AT5G19150,ADP-dependent NAD(P)H-hydrate dehydratase activity,GO:0052855,func
AT5G47650,ADP-ribose diphosphatase activity,GO:0047631,func
AT2G29630,ADP-ribose pyrophosphohydrolase activity,GO:0080041,func
AT3G27380,aerobic respiration,GO:0009060,proc
AT5G15090,aerobic respiration,GO:0009060,proc
AT2G29350,aging,GO:0007568,proc
AT2G19450,aging,GO:0007568,proc
AT2G23810,aging,GO:0007568,proc
AT3G10985,aging,GO:0007568,proc
AT5G45900,aging,GO:0007568,proc
AT3G45600,aging,GO:0007568,proc
AT4G27700,aging,GO:0007568,proc
AT2G42620,aging,GO:0007568,proc
AT5G61160,agmatine N4-coumaroyltransferase activity,GO:0047634,func
AT5G22800,alanine-tRNA ligase activity,GO:0004813,func
AT5G22800,alanyl-tRNA aminoacylation,GO:0006419,proc
AT2G29350,alcohol dehydrogenase (NAD) activity,GO:0004022,func
AT5G19440,alcohol dehydrogenase (NAD) activity,GO:0004022,func
AT2G37790,alcohol dehydrogenase (NADP+) activity,GO:0008106,func
AT2G37760,alcohol dehydrogenase (NADP+) activity,GO:0008106,func
AT2G37770,alcohol dehydrogenase (NADP+) activity,GO:0008106,func
AT3G04000,alcohol dehydrogenase (NADP+) activity,GO:0008106,func
AT3G61220,alcohol dehydrogenase (NADP+) activity,GO:0008106,func
AT1G44170,aldehyde dehydrogenase (NAD) activity,GO:0004029,func
AT3G24503,aldehyde dehydrogenase (NAD) activity,GO:0004029,func
AT2G37790,alditol:NADP+ 1-oxidoreductase activity,GO:0004032,func
AT2G37760,alditol:NADP+ 1-oxidoreductase activity,GO:0004032,func
AT2G37770,alditol:NADP+ 1-oxidoreductase activity,GO:0004032,func
AT1G04420,aldo-keto reductase (NADP) activity,GO:0004033,func
AT1G60730,aldo-keto reductase (NADP) activity,GO:0004033,func
AT2G37760,aldo-keto reductase (NADP) activity,GO:0004033,func
AT2G37770,aldo-keto reductase (NADP) activity,GO:0004033,func
AT5G53580,aldo-keto reductase (NADP) activity,GO:0004033,func
AT1G60690,aldo-keto reductase (NADP) activity,GO:0004033,func
AT2G27680,aldo-keto reductase (NADP) activity,GO:0004033,func
AT3G01590,aldose 1-epimerase activity,GO:0004034,func
AT4G25900,aldose 1-epimerase activity,GO:0004034,func
AT1G74020,alkaloid metabolic process,GO:0009820,proc
AT1G54500,alkane catabolic process,GO:0043448,proc
AT5G43600,allantoin catabolic process,GO:0000256,proc
AT4G17050,allantoin catabolic process,GO:0000256,proc
AT2G03590,allantoin transport,GO:0015720,proc
AT2G03590,allantoin:proton symporter activity,GO:0005274,func
AT3G25770,allene-oxide cyclase activity,GO:0046423,func
AT2G34630,all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity,GO:0052924,func
AT1G78510,all-trans-nonaprenyl-diphosphate synthase (geranylgeranyl-diphosphate specific) activity,GO:0052924,func
AT4G38240,"alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity",GO:0003827,func
AT5G24300,"alpha-1,4-glucan synthase activity",GO:0033201,func
AT1G67490,"alpha-1,4-glucosidase activity",GO:0004558,func
AT1G02145,"alpha-1,6-mannosyltransferase activity",GO:0000009,func
AT1G03310,alpha-amylase activity,GO:0004556,func
AT2G39930,alpha-amylase activity,GO:0004556,func
AT3G20440,alpha-amylase activity,GO:0004556,func
AT5G08380,alpha-galactosidase activity,GO:0004557,func
AT1G10760,"alpha-glucan, water dikinase activity",GO:0050521,func
AT1G78060,alpha-L-arabinofuranosidase activity,GO:0046556,func
AT5G10560,alpha-L-arabinofuranosidase activity,GO:0046556,func
AT3G10740,alpha-L-arabinofuranosidase activity,GO:0046556,func
AT3G26720,alpha-mannosidase activity,GO:0004559,func
AT5G13980,alpha-mannosidase activity,GO:0004559,func
AT1G27520,alpha-mannosidase activity,GO:0004559,func
AT4G33470,alpha-tubulin binding,GO:0043014,func
AT1G54380,"alternative mRNA splicing, via spliceosome",GO:0000380,proc
AT3G22370,alternative oxidase activity,GO:0009916,func
AT3G22370,alternative respiration,GO:0010230,proc
AT5G20230,aluminum cation transport,GO:0015690,proc
AT1G08980,amidase activity,GO:0004040,func
AT3G43670,amine metabolic process,GO:0009308,proc
AT5G19500,amine transmembrane transporter activity,GO:0005275,func
AT1G22020,amino acid binding,GO:0016597,func
AT5G22800,amino acid binding,GO:0016597,func
AT1G44800,amino acid export across plasma membrane,GO:0032973,proc
AT1G44800,amino acid homeostasis,GO:0080144,proc
AT1G44800,amino acid import,GO:0043090,proc
AT3G56200,amino acid transmembrane transport,GO:0003333,proc
AT3G54110,amino acid transmembrane transport,GO:0003333,proc
AT5G02180,amino acid transmembrane transport,GO:0003333,proc
AT5G19500,amino acid transmembrane transport,GO:0003333,proc
AT1G25530,amino acid transmembrane transport,GO:0003333,proc
AT2G41190,amino acid transmembrane transport,GO:0003333,proc
AT3G56200,amino acid transmembrane transporter activity,GO:0015171,func
AT1G44800,amino acid transmembrane transporter activity,GO:0015171,func
AT3G54110,amino acid transmembrane transporter activity,GO:0015171,func
AT5G02180,amino acid transmembrane transporter activity,GO:0015171,func
AT2G41700,amino acid transmembrane transporter activity,GO:0015171,func
AT1G25530,amino acid transmembrane transporter activity,GO:0015171,func
AT2G41190,amino acid transmembrane transporter activity,GO:0015171,func
AT3G56200,amino acid transport,GO:0006865,proc
AT1G44800,amino acid transport,GO:0006865,proc
AT5G02180,amino acid transport,GO:0006865,proc
AT5G19500,amino acid transport,GO:0006865,proc
AT1G25530,amino acid transport,GO:0006865,proc
AT2G41190,amino acid transport,GO:0006865,proc
AT4G04350,aminoacyl-tRNA editing activity,GO:0002161,func
AT5G38290,aminoacyl-tRNA hydrolase activity,GO:0004045,func
AT5G16715,aminoacyl-tRNA ligase activity,GO:0004812,func
AT4G04350,aminoacyl-tRNA ligase activity,GO:0004812,func
AT2G25840,aminoacyl-tRNA ligase activity,GO:0004812,func
AT1G11860,aminomethyltransferase activity,GO:0004047,func
AT1G60990,aminomethyltransferase activity,GO:0004047,func
AT2G24200,aminopeptidase activity,GO:0004177,func
AT3G05350,aminopeptidase activity,GO:0004177,func
AT4G30920,aminopeptidase activity,GO:0004177,func
AT1G79450,aminophospholipid transmembrane transporter activity,GO:0015247,func
AT3G12740,aminophospholipid transmembrane transporter activity,GO:0015247,func
AT1G20560,AMP binding,GO:0016208,func
AT3G48990,AMP binding,GO:0016208,func
AT1G03310,amylopectin biosynthetic process,GO:0010021,proc
AT2G36390,amylopectin biosynthetic process,GO:0010021,proc
AT2G39930,amylopectin biosynthetic process,GO:0010021,proc
AT5G24300,amylopectin biosynthetic process,GO:0010021,proc
AT3G27220,anaerobic respiration,GO:0009061,proc
AT2G41730,anaerobic respiration,GO:0009061,proc
AT3G10020,anaerobic respiration,GO:0009061,proc
AT4G26760,anaphase,GO:0051322,proc
AT5G55230,anaphase,GO:0051322,proc
AT2G18290,anaphase-promoting complex-dependent catabolic process,GO:0031145,proc
AT4G12750,anatomical structure development,GO:0048856,proc
AT1G11760,angiogenesis,GO:0001525,proc
AT2G28550,animal organ morphogenesis,GO:0009887,proc
AT1G52150,animal organ morphogenesis,GO:0009887,proc
AT5G33280,anion channel activity,GO:0005253,func
AT2G41560,anion homeostasis,GO:0055081,proc
AT5G15090,anion transmembrane transport,GO:0098656,proc
AT5G67500,anion transmembrane transport,GO:0098656,proc
AT5G15090,anion transport,GO:0006820,proc
AT5G67500,anion transport,GO:0006820,proc
AT1G01910,anion transport,GO:0006820,proc
AT5G13550,anion:anion antiporter activity,GO:0015301,func
AT1G23090,anion:anion antiporter activity,GO:0015301,func
AT2G47160,anion:anion antiporter activity,GO:0015301,func
AT1G77990,anion:anion antiporter activity,GO:0015301,func
AT2G39940,anther dehiscence,GO:0009901,proc
AT1G60800,anther development,GO:0048653,proc
AT3G49670,anther development,GO:0048653,proc
AT5G43270,anther development,GO:0048653,proc
AT4G39400,anther wall tapetum cell differentiation,GO:0048657,proc
AT4G01810,anther wall tapetum development,GO:0048658,proc
AT2G36910,anthocyanin accumulation in tissues in response to UV light,GO:0043481,proc
AT2G43000,anthocyanin-containing compound biosynthetic process,GO:0009718,proc
AT4G27430,anthocyanin-containing compound biosynthetic process,GO:0009718,proc
AT3G21560,anthocyanin-containing compound biosynthetic process,GO:0009718,proc
AT4G27830,anthocyanin-containing compound metabolic process,GO:0046283,proc
AT4G08920,anthocyanin-containing compound metabolic process,GO:0046283,proc
AT5G17990,anthranilate phosphoribosyltransferase activity,GO:0004048,func
AT5G05730,anthranilate synthase activity,GO:0004049,func
AT5G57890,anthranilate synthase activity,GO:0004049,func
AT1G24909,anthranilate synthase activity,GO:0004049,func
AT5G65840,antioxidant activity,GO:0016209,func
AT1G60740,antioxidant activity,GO:0016209,func
AT5G06290,antioxidant activity,GO:0016209,func
AT5G39340,antipodal cell differentiation,GO:0009557,proc
AT2G21340,antiporter activity,GO:0015297,func
AT2G13650,antiporter activity,GO:0015297,func
